,location,text
44,Twin Cities,@EdKrassen @realDonaldTrump For the thousanths time. How and why immediately after every single Trump Tweet either… https://t.co/VP83QqR2LY
45,"Santa Barbara, CA. 🇺🇸 🌎 🌌","#Venezuela White supremest coup
https://t.co/dKCMBrrpV3 https://t.co/i9TgQOycjD"
46,10 yrs. Los Angeles / Houston,"Look at this! 😍El Paso has raised the money to fly big baby tRump  over the MAGAT rally tomorrow. BRAVO! Fly high,… https://t.co/s1mARDq7EA"
47,I Am Everywhere,"@CNN Trump trash just can't stand the fact that the majority of human beings on this Earth hate them, mock their ig… https://t.co/0ibPJwkxHL"
48,United States,@Acyn Take that wussy Trump!
49,"Longmont, CO",Found out recently that a long time friend is pro trump and anti Obama/left anything. I can’t help but think differ… https://t.co/EeQEbLSviC
50,#UniteBlue in Semi-Red State,"TRUMP'S MAJOR LIES
LIE #2
""I will raise taxes on the rich, including me! It's the right thing to do?""
Obviously TRU… https://t.co/l3r9v9Vnrq"
51,Palm Desert California,@DonaldJTrumpJr Stop writing BLASTS. NO body BLASTS Trump ...NO body BLASTS the White House. A collection of evil w… https://t.co/831QpoZITt
52,Deep Undercover,"@faagifts Cap lock stuck? 
The same crooks who said smoking (smocking for Trump Fanboys) doesn't cause cancer are n… https://t.co/UF1zJum8kq"
53,everywhere....,"@TheRoot Isn't Joy Villa the same person who accused Corey Lewandowski, Donald Trump's former campaign manager, of sexual harassment?"
54,Shores of Lake Erie,"Democrats CANNOT stand to Not have ALL The Power. 

They’re so afraid of President Trump’s Success. 

When they do… https://t.co/aW1zaSCBHx"
55,"Antártica Chilena, Magallanes y La Antártica Chilena","@sebastianpinera acabo de oírlo decir desde el norte , ""el cambio climático llego para quedarse"". Espero le refrend… https://t.co/PrXY8oohrW"
56,A Happy Place.,https://t.co/qDqpGR5uEY Absolutely love @JeffBezos action. His private life is his and he can take whatever picture… https://t.co/Qqoj5bULmO
57,"Texas, USA","SerialBrain2 - The NO CAVE Strategy: How Trump played Nancy, Chuck and t... https://t.co/0V1gqeWvnI via @YouTube"
58,"Manly, Sydney",@mirandadevine @GreenJ @realDonaldTrump Yeah and I'm sure Trump Jr. was laughing at something other than genocide h… https://t.co/rOUYiOvQC1
59,Twin Cities,@EdKrassen @realDonaldTrump For the thousanths time. How and why immediately after every single Trump Tweet either… https://t.co/VP83QqR2LY
60,"Santa Barbara, CA. 🇺🇸 🌎 🌌","#Venezuela White supremest coup
https://t.co/dKCMBrrpV3 https://t.co/i9TgQOycjD"
61,10 yrs. Los Angeles / Houston,"Look at this! 😍El Paso has raised the money to fly big baby tRump  over the MAGAT rally tomorrow. BRAVO! Fly high,… https://t.co/s1mARDq7EA"
62,I Am Everywhere,"@CNN Trump trash just can't stand the fact that the majority of human beings on this Earth hate them, mock their ig… https://t.co/0ibPJwkxHL"
63,United States,@Acyn Take that wussy Trump!
64,"Longmont, CO",Found out recently that a long time friend is pro trump and anti Obama/left anything. I can’t help but think differ… https://t.co/EeQEbLSviC
65,#UniteBlue in Semi-Red State,"TRUMP'S MAJOR LIES
LIE #2
""I will raise taxes on the rich, including me! It's the right thing to do?""
Obviously TRU… https://t.co/l3r9v9Vnrq"
66,"New Jersey, USA",@BryanJFischer @POLITICOMag But I guess it's ok for trump the serial sexual predator to be defiling OUR White House.
67,"Florida, USA",Talks collapse on border deal as another Trump created U.S. government shutdown looms - Reuters https://t.co/k0CRKtoFrt
68,everywhere....,"@TheRoot Isn't Joy Villa the same person who accused Corey Lewandowski, Donald Trump's former campaign manager, of sexual harassment?"
69,Shores of Lake Erie,"Democrats CANNOT stand to Not have ALL The Power. 

They’re so afraid of President Trump’s Success. 

When they do… https://t.co/aW1zaSCBHx"
70,"Antártica Chilena, Magallanes y La Antártica Chilena","@sebastianpinera acabo de oírlo decir desde el norte , ""el cambio climático llego para quedarse"". Espero le refrend… https://t.co/PrXY8oohrW"
71,A Happy Place.,https://t.co/qDqpGR5uEY Absolutely love @JeffBezos action. His private life is his and he can take whatever picture… https://t.co/Qqoj5bULmO
72,"Texas, USA","SerialBrain2 - The NO CAVE Strategy: How Trump played Nancy, Chuck and t... https://t.co/0V1gqeWvnI via @YouTube"
73,"Manly, Sydney",@mirandadevine @GreenJ @realDonaldTrump Yeah and I'm sure Trump Jr. was laughing at something other than genocide h… https://t.co/rOUYiOvQC1
